Column,Data Type,Non-Null Count,Null Count,Null %,Unique Values
id,object,1874,0,0.0,1874
org_name,object,1869,5,0.27,10
event_name,object,1874,0,0.0,756
event_description,object,1813,61,3.26,718
event_start_date,object,1874,0,0.0,112
event_end_date,object,1874,0,0.0,88
days_of_week,object,1026,848,45.25,30
start_time,object,1874,0,0.0,50
end_time,object,1874,0,0.0,56
more_info,object,1874,0,0.0,849
fee,object,1735,139,7.42,2
admission_price,float64,0,1874,100.0,0
site_location_name,object,1860,14,0.75,110
event_photo,object,1774,100,5.34,233
events_category,object,1874,0,0.0,3
age_group_eligibility_tags,object,1754,120,6.4,43
race_ethnicity_eligibility_tags,object,22,1852,98.83,5
special_needs_eligibility_tags,object,18,1856,99.04,1
sogi_eligibility_tags,object,78,1796,95.84,3
language_eligibility_tags,object,145,1729,92.26,5
site_address,object,1854,20,1.07,106
site_phone,object,1785,89,4.75,67
site_email,object,772,1102,58.8,33
latitude,float64,1769,105,5.6,99
longitude,float64,1769,105,5.6,99
point,object,1769,105,5.6,99
analysis_neighborhood,object,1769,105,5.6,35
supervisor_district,float64,1769,105,5.6,11
data_as_of,object,1874,0,0.0,1
data_loaded_at,object,1874,0,0.0,1
