id,org_name,event_name,event_description,event_start_date,event_end_date,days_of_week,start_time,end_time,more_info,fee,admission_price,site_location_name,event_photo,events_category,age_group_eligibility_tags,race_ethnicity_eligibility_tags,special_needs_eligibility_tags,sogi_eligibility_tags,language_eligibility_tags,site_address,site_phone,site_email,latitude,longitude,point,analysis_neighborhood,supervisor_district,data_as_of,data_loaded_at
41047_rpd,SF Rec Park,Learn to Swim - Level 1,"This class is designed to orient participants to the aquatic environment and to help them gain basic aquatic skills. In addition, participants start learning about how to be safe around water. Children must be 48 to participate.          Registration is limited to one class per participant.",2026/01/06 12:00:00 AM,2026/03/07 12:00:00 AM,TBD,00:00:00,00:00:00,sfrecpark.org/register,True,,SAN FRANCISCO RECREATION & PARKS,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,Children; Pre-Teens; Teens; TAY,,,,,501 Stanyan St,(415) 831-2700,,37.772208000001,-122.454477000002,POINT (-122.454477 37.772208),Golden Gate Park,1.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
40671_rpd,SF Rec Park,Jr. Warriors Basketball  - Herz - 5th/6thGrade,"Welcome to our 25th Annual SFRPD All-City Jr. Warriors Youth Basketball League in San Francisco! Our Jr. Warriors League depends on the generosity of volunteers to provide an opportunity for our youth (Kindergarten - 8th Grade) to learn the game of basketball in a recreational, supportive, and safe environment. Each team will have league games (6 or more) and weekly practices. Jr. Warriors League games will be played on Thursdays, Fridays, or Saturdays at different Recreation Centers depending on grade level. If you are interested in becoming a coach/assistant coach, referee, or scorekeeper, you do not need to have a high level of experience in basketball. Our league offers an annual coaching clinic and experienced coaches who are more than happy to provide advice.",2026/01/07 12:00:00 AM,2026/02/25 12:00:00 AM,W,17:00:00,18:00:00,sfrecpark.org/register,True,,HERZ PLGD,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,Pre-Teens; Teens,,,,,1700 Visitacion Ave @ Hahn St,(415) 831-2700,,37.713564605757,-122.415401051524,POINT (-122.415401052 37.713564606),Visitacion Valley,10.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
41112_rpd,SF Rec Park,Learn to Swim - Level 4,"This class should improve participants' proficiency in performing the swimming strokes that were introduced in Level 3. Participants perform these strokes with increased proficiency and can swim them for greater distances. In addition, participants learn the arm actions that accompany the scissors kick and breaststroke kick to begin performing the sidestroke and breaststroke at rudimentary proficiency levels. Participants also learn the back crawl and butterfly at rudimentary proficiency levels, in addition to the basics of performing a simple open turn at a wall. Prerequisite: Successful completion of Level 3.",2026/01/06 12:00:00 AM,2026/03/07 12:00:00 AM,Sa,09:00:00,09:30:00,sfrecpark.org/register,True,,SAN FRANCISCO RECREATION & PARKS,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,Children; Pre-Teens; Teens; TAY,,,,,501 Stanyan St,(415) 831-2700,,37.772208000001,-122.454477000002,POINT (-122.454477 37.772208),Golden Gate Park,1.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
41170_rpd,SF Rec Park,Woodworking Safety Orientation,This    class is a prerequisite and must be taken before your first woodworking    class. Tour the entire shop and learn how to safely operate our shop's    woodworking machines. The safety orientation must be taken no earlier than    the preceding session. Free refresher available to returning students.,2026/01/08 12:00:00 AM,2026/01/08 12:00:00 AM,Th,18:30:00,21:00:00,sfrecpark.org/register,True,,RANDALL MUSEUM,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,Teens; TAY,,,,,199 Museum Way,(415) 554-9600,,37.764432000001,-122.438160000002,POINT (-122.43816 37.764432),Castro/Upper Market,8.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
41165_rpd,SF Rec Park,Woodworking for Tots with Grownups,"Spend    Saturday mornings with your young child in our fabulous woodshop. You'll both    learn to safely use the drill press, portable drills, and many hand tools.    Together, you'll build fun projects like wooden toys, birdhouses, tool boxes,    and more. Projects change every session, so you can take this class again and    again. Registration fee includes one child and one adult. Each child must be    accompanied by a participating adult. Please register for class using the    child's name.",2026/02/07 12:00:00 AM,2026/03/07 12:00:00 AM,Sa,10:00:00,11:00:00,sfrecpark.org/register,True,,RANDALL MUSEUM,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,Toddlers; Children,,,,,199 Museum Way,(415) 554-9600,,37.764432000001,-122.438160000002,POINT (-122.43816 37.764432),Castro/Upper Market,8.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
40644_rpd,SF Rec Park,Darkroom Essentials & Processes,This    introductory class covers all of the key basics in Black and White Darkroom    printing. Learn the essential steps and key processes to get you on your way    to printing your images! Students will gain the techniques to grow in skill    and confidence. Instructor will go over the needed materials in the first    class. This class can be taken in lieu of Photography Center Orientation.,2026/01/15 12:00:00 AM,2026/02/19 12:00:00 AM,Th,18:00:00,20:30:00,sfrecpark.org/register,True,,HARVEY MILK PHOTO CENTER,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,TAY,,,,,50 Scott St,(415) 554-9522,,37.769499000001,-122.434623000002,POINT (-122.434623 37.769499),Haight Ashbury,8.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
138962_sfpl,SF Public Library,Book Club: Silent Reading Café,"Bring any book you’d like for a period of silent reading, followed by either journaling or joining a casual discussion where you can share what you’…",2026/01/04 12:00:00 AM,2026/01/04 12:00:00 AM,,14:00:00,15:00:00,https://sfpl.org/events/2026/01/04/book-club-silent-reading-cafe,False,,Bayview/Linda Brooks-Burton,https://sfpl.org//sites/default/files/topics/BookClubs.jpg,Library Events,"Teens (Ages 13-18), TAY (Ages 18-24)",,,,,5075 3rd Street,415-355-5757,baymgr@sfpl.org,37.732491000001,-122.391328500002,POINT (-122.3913285 37.732491),Bayview Hunters Point,10.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
41397_rpd,SF Rec Park,Baseball - SFYBL - Mustang - Pioneers,"**Registration for returning players will open on November 5th at 10am** SF Recreation and Parks Department and SF Fire Department Flame Athletics presents the 2026 SF Youth Baseball League Spring MUSTANG Division. Individual players ages 9 to 10 (based on league age guidelines) that want to sign up for a MUSTANG team, can select this Practice Location/Day/Time. Fees include one practice per week, a uniform, Coach and entry into the SFYBL. If you would like to create or join an Independent Team, please go to sfybl.com and click on Sign Up Information for instructions.",2026/03/05 12:00:00 AM,2026/05/14 12:00:00 AM,Th,16:30:00,17:30:00,sfrecpark.org/register,True,,GLEN CANYON REC CENTER,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,Pre-Teens,,,,,70 Elk St,(415) 337-4705,,37.736199000001,-122.440045500002,POINT (-122.4400455 37.736199),Glen Park,8.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
40685_rpd,SF Rec Park,ACCESS to Health and Fitness,"Come get healthy and fit! This is a specialized Therapeutic Recreation Program, serving transition aged youth with disabilities. We strive to develop social and life skills while fostering community integration and encouraging independence in a safe and nurturing environment. Therapeutic Recreation Staff will work directly with the ACCESS students, and transition age adults to help them develop healthy lifestyle and fitness skills.",2026/01/07 12:00:00 AM,2026/03/11 12:00:00 AM,W,11:00:00,12:30:00,sfrecpark.org/register,False,,MISSION REC CENTER,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,TAY,,Special Needs/Disabilities,,,2450 Harrison St,(415) 695-5012,,37.758150000001,-122.412600000002,POINT (-122.4126 37.75815),Mission,9.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
40729_rpd,SF Rec Park,Drop-in: Basketball,,2026/01/08 12:00:00 AM,2026/04/23 12:00:00 AM,Th,10:00:00,20:30:00,sfrecpark.org/register,False,,BETTY ANN ONG CHINESE REC CENTER,https://upload.wikimedia.org/wikipedia/en/0/0b/San_Francisco_Recreation_%26_Parks_Department_Logo.jpg,Sports & Recreation,All Ages,,,,,1199 Mason St @ Washington St,(415) 359-9103,,37.794294000001,-122.411466000002,POINT (-122.411466 37.794294),Nob Hill,3.0,2025/12/17 12:00:00 AM,2025/12/17 07:05:14 AM
